[2026-03-28T01:47:58.629Z] GET http://localhost:3001/home → pending (?ms, ?B)
[2026-03-28T01:47:58.806Z] GET http://localhost:3001/_next/static/chunks/fallback/webpack.js → 200 (90ms, 141137B)
[2026-03-28T01:47:58.806Z] GET http://localhost:3001/_next/static/chunks/fallback/main.js → 200 (554ms, ?B)
[2026-03-28T01:47:58.807Z] GET http://localhost:3001/_next/static/chunks/fallback/pages/_app.js → 200 (75ms, 12248B)
[2026-03-28T01:47:58.808Z] GET http://localhost:3001/_next/static/chunks/fallback/pages/_error.js → 200 (83ms, 59566B)
[2026-03-28T01:47:58.808Z] GET http://localhost:3001/_next/static/chunks/fallback/react-refresh.js → 200 (85ms, 79463B)
[2026-03-28T01:47:59.409Z] GET http://localhost:3001/_next/static/development/_devMiddlewareManifest.json → pending (?ms, ?B)
[2026-03-28T01:47:59.885Z] GET http://localhost:3001/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-03-28T01:47:59.886Z] GET http://localhost:3001/__nextjs_font/geist-mono-latin.woff2 → 200 (?ms, ?B)
[2026-03-28T01:56:05.968Z] GET http://localhost:3001/home → pending (?ms, ?B)
[2026-03-28T01:56:05.971Z] GET http://localhost:3001/_next/static/webpack/4013e209d7eb1c33.webpack.hot-update.json → 404 (59ms, ?B)
[2026-03-28T01:56:06.044Z] GET http://localhost:3001/home → pending (?ms, ?B)
[2026-03-28T01:56:08.242Z] GET http://localhost:3001/_next/static/css/app/layout.css?v=1774662966728 → 200 (7ms, 855591B)
[2026-03-28T01:56:08.247Z] GET http://localhost:3001/_next/static/css/app/(user)/home/page.css?v=1774662966728 → 200 (3ms, 21645B)
[2026-03-28T01:56:08.247Z] GET http://localhost:3001/_next/static/chunks/webpack.js?v=1774662966728 → 200 (70ms, 141435B)
[2026-03-28T01:56:08.247Z] GET http://localhost:3001/_next/static/chunks/main-app.js?v=1774662966728 → pending (?ms, ?B)
[2026-03-28T01:56:08.247Z] GET http://localhost:3001/_next/static/chunks/app-pages-internals.js → 200 (111ms, 226882B)
[2026-03-28T01:56:08.247Z] GET http://localhost:3001/_next/static/chunks/app/layout.js → pending (?ms, ?B)
[2026-03-28T01:56:08.247Z] GET http://localhost:3001/_next/static/chunks/app/error.js → 200 (306ms, 48291B)
[2026-03-28T01:56:08.247Z] GET http://localhost:3001/_next/static/chunks/app/template.js → 200 (323ms, ?B)
